"name","condition_status","mean.alpha","median.alpha","sd.alpha"
"Phylogenetic Diversity","control",12.09403778651312,11.884923387727556,5.695735310003315
"Phylogenetic Diversity","acute_ili",12.508405626636,12.204407285029543,6.064353270416195
"Phylogenetic Diversity","acute_ili_14_days",13.534494544204323,13.716700211552768,5.879811491790729
"Phylogenetic Diversity","acute_ili_recovery",12.55746438848536,12.03890523100661,5.993294096029117
"Simpson Evenness","control",0.11221775730897555,0.08957470932922543,0.08737312225686773
"Simpson Evenness","acute_ili",0.10257064989240412,0.08588510025271123,0.06237288122256424
"Simpson Evenness","acute_ili_14_days",0.08971558617526586,0.07403170343779711,0.056597030713282766
"Simpson Evenness","acute_ili_recovery",0.0964645066488887,0.08019873585637803,0.06530860420863362
